Trade Date,Arca,Amex,Consolidated
20230623,"4,896.5","2,392.0","39,128.2"
20230622,"4,445.1","2,343.2","36,083.9"
20230621,"4,678.3","2,645.3","38,377.1"
20230620,"4,712.2","2,098.8","37,253.5"
20230616,"5,857.6","3,508.1","48,461.9"
20230615,"6,356.0","3,505.5","50,229.0"
20230614,"5,568.5","2,714.6","46,568.9"
20230613,"5,563.3","3,033.4","45,065.6"
20230612,"4,425.8","2,625.3","40,081.4"
20230609,"5,702.6","2,553.8","46,499.4"
20230608,"4,813.7","3,026.6","40,888.1"
20230607,"6,109.3","3,345.0","50,004.0"
20230606,"4,943.8","2,773.8","43,636.7"
20230605,"4,773.3","2,207.9","38,848.4"
20230602,"6,264.3","3,114.0","49,186.0"
20230601,"5,239.2","3,288.4","42,573.1"
20230531,"5,077.3","2,564.4","40,773.6"
20230530,"5,370.3","2,506.4","40,357.3"
20230526,"5,759.3","2,928.8","47,683.5"
20230525,"5,228.6","2,616.9","41,322.7"
20230524,"5,055.2","2,632.3","39,295.9"
20230523,"4,821.6","2,933.8","38,144.8"
20230522,"4,526.7","2,716.4","35,449.8"
20230519,"5,482.9","3,733.6","44,813.6"
20230518,"5,651.1","3,722.8","45,842.4"
20230517,"4,975.4","3,639.0","43,471.3"
20230516,"4,066.6","3,174.0","34,573.2"
20230515,"4,098.4","2,821.2","32,674.5"
20230512,"4,961.1","2,977.7","40,739.3"
20230511,"4,839.5","2,990.9","37,854.4"
20230510,"5,435.4","2,779.0","43,429.5"
20230509,"3,902.6","2,574.8","30,107.2"
20230508,"3,905.0","2,253.0","31,521.8"
20230505,"5,372.7","3,223.4","44,037.6"
20230504,"5,756.5","2,749.5","42,525.7"
20230503,"4,284.3","2,769.7","36,894.1"
20230502,"4,271.2","3,481.1","39,766.1"
20230501,"3,939.1","2,789.5","33,011.5"
20230428,"5,370.4","3,234.2","42,335.3"
20230427,"5,192.9","2,937.8","43,443.1"
20230426,"4,934.2","2,837.2","39,449.5"
20230425,"4,901.7","2,888.5","37,952.5"
20230424,"3,813.5","2,405.1","31,473.6"
20230421,"4,773.3","3,550.1","40,557.2"
20230420,"5,170.5","3,338.8","40,420.8"
20230419,"4,184.8","2,834.3","34,757.7"
20230418,"3,919.4","3,450.5","32,507.5"
20230417,"4,386.0","2,439.5","31,405.3"
20230414,"5,265.9","3,682.0","41,277.8"
20230413,"4,605.9","3,220.2","36,021.9"
20230412,"4,652.3","2,861.3","37,229.2"
20230411,"3,942.9","2,259.3","30,042.2"
20230410,"3,622.9","2,057.2","29,390.5"
20230406,"4,733.0","2,563.2","36,524.8"
20230405,"4,574.7","2,566.9","36,093.9"
20230404,"4,483.0","2,746.6","37,417.5"
20230403,"4,474.4","2,699.4","35,247.4"
20230331,"5,801.1","3,514.3","45,996.8"
20230330,"5,000.2","2,889.3","37,229.0"
20230329,"4,600.6","2,403.1","36,090.0"
20230328,"4,294.4","2,306.1","32,227.2"
20230327,"4,491.1","2,378.2","32,434.1"
20230324,"5,700.6","3,041.8","42,130.9"
20230323,"6,261.8","3,619.9","48,253.2"
20230322,"5,562.9","2,973.7","41,875.2"
20230321,"5,146.0","2,643.6","37,363.7"
20230320,"4,824.1","2,644.5","36,102.3"
20230317,"6,724.6","4,332.8","51,555.3"
20230316,"6,193.4","3,605.6","49,865.2"
20230315,"6,818.8","3,611.0","51,101.0"
20230314,"5,654.4","3,621.3","42,510.9"
20230313,"6,565.5","3,656.9","48,997.7"
20230310,"7,740.7","4,370.5","60,994.8"
20230309,"5,407.0","3,266.4","45,711.5"
20230308,"3,824.3","2,812.2","33,703.3"
20230307,"4,266.3","2,907.0","35,742.1"
20230306,"4,123.3","3,016.4","34,187.8"
20230303,"5,405.7","3,331.2","43,549.9"
20230302,"4,728.0","2,821.0","38,150.3"
20230301,"4,471.3","2,990.1","37,603.4"
20230228,"4,302.2","2,707.7","32,820.8"
20230227,"4,460.5","2,565.4","34,360.6"
20230224,"5,413.6","3,275.9","42,177.7"
20230223,"5,046.1","3,061.6","40,977.3"
20230222,"4,695.3","3,373.6","37,667.4"
20230221,"5,123.5","3,404.4","39,752.8"
20230217,"6,172.1","3,941.5","48,261.8"
20230216,"5,813.8","3,426.9","44,042.6"
20230215,"5,201.8","3,554.1","39,773.8"
20230214,"5,374.7","3,445.2","40,777.2"
20230213,"4,290.1","3,147.5","34,202.8"
20230210,"5,812.9","3,708.5","44,933.2"
20230209,"6,101.1","3,117.9","45,858.6"
20230208,"5,287.5","3,186.6","41,218.1"
20230207,"6,008.6","3,018.1","43,675.0"
20230206,"4,800.1","3,131.0","38,776.2"
20230203,"7,102.8","3,886.4","56,975.6"
20230202,"7,915.4","4,339.6","64,834.7"
20230201,"6,254.5","3,219.3","45,070.8"
20230131,"4,847.2","2,809.7","34,950.2"
20230130,"5,189.6","3,103.5","38,663.9"
20230127,"7,243.1","3,804.8","54,992.1"
20230126,"5,749.4","3,067.6","42,308.8"
20230125,"5,342.1","3,166.3","41,376.4"
20230124,"4,623.2","3,371.7","33,817.1"
20230123,"6,036.1","3,964.7","46,390.4"
20230120,"5,957.4","4,741.6","47,443.6"
20230119,"5,311.2","3,697.3","41,010.7"
20230118,"5,595.6","3,630.0","50,765.0"
20230117,"4,798.1","3,068.5","37,969.5"
20230113,"5,873.4","3,482.9","45,389.6"
20230112,"6,201.1","3,293.1","48,259.4"
20230111,"5,086.7","4,108.4","47,141.5"
20230110,"4,147.8","2,644.4","32,653.4"
20230109,"5,134.4","3,059.2","42,170.8"
20230106,"6,084.1","3,915.5","50,840.5"
